Action;Activity_details;Activity_type;DB_File_Num;uniquesod;koddoc;time:timestamp;User_id
Добавление документа;[Выход из закалки поддона № 64150]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937588;2012-07-02T6:18:40.000+0300;282
Добавление документа;[Выход из закалки поддона № 64151]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937589;2012-07-02T6:18:43.000+0300;282
Добавление документа;[Выход из закалки поддона № 64152]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937590;2012-07-02T6:18:45.000+0300;282
Добавление документа;[Выход из закалки поддона № 64153]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937591;2012-07-02T6:18:47.000+0300;282
Добавление документа;[Выход из закалки поддона № 64137]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937575;2012-07-02T6:18:51.000+0300;282
Добавление документа;[Выход из закалки поддона № 64155]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937593;2012-07-02T6:20:24.000+0300;282
Добавление документа;[Выход из закалки поддона № 64156]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937594;2012-07-02T6:20:27.000+0300;282
Добавление документа;[Выход из закалки поддона № 64157]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937595;2012-07-02T6:20:29.000+0300;282
Добавление документа;[Выход из закалки поддона № 64158]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937596;2012-07-02T6:20:31.000+0300;282
Добавление документа;[Выход из закалки поддона № 64159]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937597;2012-07-02T6:20:34.000+0300;282
Добавление документа;[Выход из закалки поддона № 64160]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937598;2012-07-02T6:20:36.000+0300;282
Добавление документа;[Выход из закалки поддона № 64161]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937599;2012-07-02T6:20:38.000+0300;282
Добавление документа;[Выход из закалки поддона № 64162]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937600;2012-07-02T6:20:41.000+0300;282
Добавление документа;[Выход из закалки поддона № 64163]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937601;2012-07-02T6:20:43.000+0300;282
Добавление документа;[Выход из закалки поддона № 64164]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937602;2012-07-02T6:20:46.000+0300;282
Добавление документа;[Выход из закалки поддона № 64165]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937603;2012-07-02T6:20:48.000+0300;282
Добавление документа;[Выход из закалки поддона № 64166]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937604;2012-07-02T6:20:50.000+0300;282
Добавление документа;[Выход из закалки поддона № 64167]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937605;2012-07-02T6:20:53.000+0300;282
Добавление документа;[Выход из закалки поддона № 64168]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937606;2012-07-02T6:20:55.000+0300;282
Добавление документа;[Выход из закалки поддона № 64169]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937607;2012-07-02T6:20:57.000+0300;282
Добавление документа;[Выход из закалки поддона № 64170]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937608;2012-07-02T6:21:00.000+0300;282
Добавление документа;[Выход из закалки поддона № 64171]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937609;2012-07-02T6:21:02.000+0300;282
Добавление документа;[Выход из закалки поддона № 64172]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937610;2012-07-02T6:21:05.000+0300;282
Добавление документа;[Выход из закалки поддона № 64173]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937611;2012-07-02T6:21:07.000+0300;282
Добавление документа;[Выход из закалки поддона № 64174]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937612;2012-07-02T6:21:09.000+0300;282
Добавление документа;[Выход из закалки поддона № 64175]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937613;2012-07-02T6:21:12.000+0300;282
Добавление документа;[Выход из закалки поддона № 64176]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937614;2012-07-02T6:21:14.000+0300;282
Добавление документа;[Выход из закалки поддона № 64154]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937592;2012-07-02T6:21:17.000+0300;282
Добавление документа;[Выход из закалки поддона № 64178]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937616;2012-07-02T6:22:42.000+0300;282
Добавление документа;[Выход из закалки поддона № 64179]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937617;2012-07-02T6:22:44.000+0300;282
Добавление документа;[Выход из закалки поддона № 64180]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937618;2012-07-02T6:22:46.000+0300;282
Добавление документа;[Выход из закалки поддона № 64181]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937619;2012-07-02T6:22:49.000+0300;282
Добавление документа;[Выход из закалки поддона № 64182]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937620;2012-07-02T6:22:51.000+0300;282
Добавление документа;[Выход из закалки поддона № 64183]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937621;2012-07-02T6:22:54.000+0300;282
Добавление документа;[Выход из закалки поддона № 64184]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937622;2012-07-02T6:22:56.000+0300;282
Добавление документа;[Выход из закалки поддона № 64185]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937623;2012-07-02T6:22:58.000+0300;282
Добавление документа;[Выход из закалки поддона № 64186]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937624;2012-07-02T6:23:01.000+0300;282
Добавление документа;[Выход из закалки поддона № 64187]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937625;2012-07-02T6:23:03.000+0300;282
Добавление документа;[Выход из закалки поддона № 64188]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937626;2012-07-02T6:23:05.000+0300;282
Добавление документа;[Выход из закалки поддона № 64189]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937627;2012-07-02T6:23:08.000+0300;282
Добавление документа;[Выход из закалки поддона № 64190]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937628;2012-07-02T6:23:10.000+0300;282
Добавление документа;[Выход из закалки поддона № 64191]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937629;2012-07-02T6:23:13.000+0300;282
Добавление документа;[Выход из закалки поддона № 64192]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937630;2012-07-02T6:23:15.000+0300;282
Добавление документа;[Выход из закалки поддона № 64193]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937631;2012-07-02T6:23:17.000+0300;282
Добавление документа;[Выход из закалки поддона № 64194]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937632;2012-07-02T6:23:20.000+0300;282
Добавление документа;[Выход из закалки поддона № 64195]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937633;2012-07-02T6:23:22.000+0300;282
Добавление документа;[Выход из закалки поддона № 64196]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937634;2012-07-02T6:23:24.000+0300;282
Добавление документа;[Выход из закалки поддона № 64197]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937635;2012-07-02T6:23:27.000+0300;282
Добавление документа;[Выход из закалки поддона № 64198]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937636;2012-07-02T6:23:29.000+0300;282
Добавление документа;[Выход из закалки поддона № 64199]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937637;2012-07-02T6:23:32.000+0300;282
Добавление документа;[Выход из закалки поддона № 64200]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937638;2012-07-02T6:23:34.000+0300;282
Добавление документа;[Выход из закалки поддона № 64177]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937615;2012-07-02T6:23:37.000+0300;282
Добавление документа;[Выход из закалки поддона № 64202]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937640;2012-07-02T6:26:45.000+0300;282
Добавление документа;[Выход из закалки поддона № 64203]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937641;2012-07-02T6:26:48.000+0300;282
Добавление документа;[Выход из закалки поддона № 64204]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937642;2012-07-02T6:26:50.000+0300;282
Добавление документа;[Выход из закалки поддона № 64205]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937643;2012-07-02T6:26:52.000+0300;282
Добавление документа;[Выход из закалки поддона № 64206]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937644;2012-07-02T6:26:55.000+0300;282
Добавление документа;[Выход из закалки поддона № 64207]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937645;2012-07-02T6:26:57.000+0300;282
Добавление документа;[Выход из закалки поддона № 64208]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937646;2012-07-02T6:26:59.000+0300;282
